karata,secenje,boja,jasnoca,dubina,sto,cena,x,y,z
0.73,5,11,6,61.6,56,3595,5.8,5.83,3.58
0.78,5,14,6,61.7,57,3595,5.87,5.93,3.64
0.84,2,11,6,61.8,57,3596,6.04,6.07,3.74
1.01,3,9,6,68.7,58,3597,6.14,6,4.19
1.02,5,12,3,61,56,3599,6.53,6.51,3.98
1.5,4,10,3,61.1,59,3599,7.37,7.26,4.47
0.9,1,10,6,64,57,3601,6.11,6.14,3.92
0.81,5,13,6,62,55,3601,5.97,5.99,3.71
0.78,2,13,7,60,56,3601,6,6.03,3.61
0.72,5,13,6,61.1,56,3601,5.78,5.81,3.54
0.78,5,13,6,61.7,55,3601,5.92,6,3.68
0.72,5,13,6,60.8,56,3601,5.78,5.82,3.53
0.72,5,13,6,61.4,56,3601,5.78,5.8,3.55
0.72,5,13,6,61.5,56,3601,5.77,5.81,3.56
0.72,4,14,7,62.7,56,3601,5.76,5.69,3.59
0.83,4,11,7,58.8,58,3602,6.2,6.15,3.63
1.13,5,10,3,61.1,56,3603,6.71,6.77,4.12
0.8,2,12,7,63.8,55,3603,5.84,5.89,3.74
0.83,2,12,7,63.3,56,3603,5.99,5.92,3.77
0.9,1,14,6,57.9,62,3604,6.33,6.24,3.64
0.9,2,9,6,62.3,64,3605,6.1,6.13,3.81
0.79,5,13,6,61.8,56,3605,5.91,5.94,3.66
1.15,5,10,3,62,55,3606,6.76,6.69,4.17
0.73,2,13,7,63,60,3607,5.68,5.72,3.59
1.13,4,12,3,62.3,56,3607,6.69,6.61,4.14
1.13,5,12,3,62.2,55,3607,6.68,6.63,4.14
1.06,5,12,3,62.1,55,3609,6.57,6.54,4.07
0.7,5,13,6,61.7,55,3612,5.7,5.74,3.53
0.78,5,11,6,61.7,56,3613,5.89,5.94,3.65
0.72,2,11,10,60.7,56,3614,5.78,5.81,3.52
1.09,5,11,3,61,56,3614,6.66,6.62,4.05
1.09,5,8,6,62.5,55,3615,6.64,6.58,4.13
0.7,5,14,7,62.8,53.4,3618,5.64,5.68,3.55
0.7,5,14,7,63.1,54,3618,5.62,5.65,3.56
0.72,2,14,7,59.4,56,3619,5.85,5.9,3.49
1.01,2,8,6,63.3,54,3620,6.42,6.34,4.04
1.01,1,9,6,63.6,57,3620,6.3,6.21,3.98
0.73,4,14,7,60,58,3620,5.86,5.9,3.53
0.91,4,9,7,59.5,62,3620,6.3,6.24,3.73
0.73,5,13,7,61.2,57,3620,5.85,5.8,3.57
0.82,2,12,6,58.7,58,3621,6.1,6.2,3.61
0.72,5,14,7,61.4,56,3622,5.8,5.82,3.57
0.72,5,14,7,62.3,54,3622,5.74,5.79,3.59
0.7,2,13,10,63.4,58,3622,5.64,5.59,3.56
1.1,5,12,3,61.3,56.9,3623,6.62,6.68,4.08
0.81,5,12,6,61.9,55,3624,6,5.95,3.7
0.81,5,12,6,61.8,55,3624,5.96,5.92,3.67
0.75,5,14,6,61.7,55,3625,5.82,5.85,3.6
0.83,4,13,6,61.3,59,3625,6.08,6.02,3.71
0.83,5,13,6,61.8,57,3625,6.04,6.03,3.73
0.79,4,13,6,62.1,59,3628,5.9,5.86,3.65
0.9,5,9,6,61.5,58,3629,6.19,6.23,3.82
0.72,5,14,7,62.5,55,3629,5.71,5.74,3.58
0.9,4,10,6,60,59,3629,6.23,6.16,3.72
1.03,5,12,3,61,56,3634,6.58,6.52,3.99
0.74,5,11,7,61.2,56,3635,5.83,5.86,3.58
0.74,5,11,7,60.9,55,3635,5.84,5.91,3.58
1.12,5,8,6,62.9,57,3638,6.55,6.52,4.11
1,4,8,7,59.7,62,3640,6.52,6.46,3.87
0.82,2,13,6,62.6,60,3641,5.91,5.97,3.72
0.85,5,12,6,62.4,57,3641,6.13,6.01,3.79
0.71,4,11,10,62,58,3642,5.67,5.72,3.53
0.9,2,8,7,62.4,57,3643,6.13,6.18,3.84
0.77,2,14,7,62.4,58,3643,5.82,5.87,3.65
1.16,4,14,3,61.8,59,3644,6.74,6.78,4.18
0.9,1,9,7,63.3,59,3644,6.06,6.1,3.85
0.9,2,9,7,62.2,58,3644,6.13,6.18,3.83
0.77,4,14,7,62.1,57,3644,5.85,5.8,3.62
0.77,5,12,7,61.2,56,3647,5.9,5.93,3.62
0.8,5,13,6,62.2,57,3648,5.95,5.98,3.71
0.76,5,12,6,61.9,57,3648,5.83,5.86,3.62
0.76,5,11,7,61.3,54,3648,5.88,5.94,3.62
0.76,5,13,7,60.5,56,3649,5.94,5.99,3.61
0.73,5,13,6,61.7,57,3649,5.77,5.8,3.57
0.93,2,8,7,63,53,3651,6.22,6.26,3.93
1.02,4,8,6,58.9,60,3651,6.57,6.53,3.86
0.82,5,11,7,61.5,56,3652,6.01,6.05,3.71
0.8,2,12,6,62.3,57,3653,5.91,5.94,3.69
0.8,5,12,6,62,55,3653,5.93,6,3.7
1.01,1,8,6,62.8,58,3655,6.3,6.35,3.97
0.77,5,12,7,60.9,58,3655,5.91,5.95,3.61
1.11,4,14,3,61.9,58,3655,6.66,6.63,4.11
0.9,2,9,7,63.3,58,3656,6.07,6.1,3.85
0.7,5,10,6,61.9,56,3656,5.68,5.73,3.53
0.7,5,10,6,60.8,56,3656,5.74,5.77,3.5
0.9,5,8,7,62.6,54,3656,6.15,6.18,3.86
0.96,3,10,6,68.8,56,3658,6.11,5.98,4.16
0.73,5,13,7,60.9,55.8,3660,5.8,5.85,3.55
0.7,5,12,7,61.2,56,3662,5.73,5.76,3.52
1.22,2,10,3,61.6,56,3663,6.8,6.87,4.21
0.9,4,9,6,60.1,59,3663,6.37,6.25,3.79
0.91,2,9,6,61,57,3664,6.2,6.26,3.8
1.19,5,10,3,61.5,57,3665,6.79,6.83,4.19
1.27,2,9,3,60.2,62,3665,7,7.05,4.23
0.91,2,8,7,62.1,55,3666,6.16,6.24,3.85
0.9,1,9,7,63.5,61,3666,5.96,6.01,3.8
0.7,2,14,6,60.6,60,3668,5.71,5.75,3.47
0.78,2,14,6,62.2,56,3668,5.85,5.91,3.66
0.74,5,14,6,61.4,58,3668,5.8,5.83,3.57
0.91,4,9,7,61.9,57,3669,6.24,6.19,3.85
0.9,1,9,10,63.7,64,3669,6.07,6.02,3.85
0.9,1,10,7,64,59,3669,6.05,6.01,3.86
0.91,5,9,7,62.5,55,3669,6.25,6.2,3.89
1.17,4,10,3,62.8,58,3669,6.71,6.69,4.21
1.13,5,10,3,61.1,56,3669,6.77,6.71,4.12
0.78,2,14,6,59.8,60,3672,5.97,6.03,3.59
0.7,5,11,10,60.2,57,3672,5.78,5.84,3.5
0.8,2,11,7,62.7,56,3673,5.9,5.94,3.71
0.73,5,14,6,62.3,54,3673,5.77,5.8,3.6
0.81,4,13,6,61.5,58,3674,5.99,5.94,3.97
0.63,4,13,7,60.5,57,3675,5.58,5.53,3.36
1.01,3,10,7,67.1,59,3676,6.16,6.09,4.11
0.9,5,8,10,62.2,57,3677,6.17,6.14,3.83
0.9,5,9,7,61.6,56,3677,6.22,6.16,3.81
1.13,5,10,3,62.2,55,3678,6.65,6.69,4.15
1.1,5,12,3,61.8,56,3678,6.61,6.65,4.1
1.1,2,12,3,59.8,61,3678,6.65,6.7,3.99
0.75,5,14,6,61.1,55,3679,5.87,5.89,3.6
0.38,5,8,6,62.3,55,572,4.63,4.65,2.89
0.24,5,12,7,62.7,54,572,3.99,4.02,2.51
0.24,5,12,7,61.8,54,572,3.99,4.03,2.48
0.34,5,11,6,61.6,56,573,4.48,4.51,2.77
0.3,5,12,6,61.6,56,573,4.3,4.33,2.66
0.3,5,12,6,61.9,56,573,4.32,4.34,2.68
0.3,5,12,6,62.2,55,573,4.3,4.32,2.68
0.3,5,12,6,62.5,54,573,4.29,4.32,2.69
0.3,5,12,6,62.3,55,573,4.3,4.34,2.69
0.3,5,12,6,61.1,56,573,4.36,4.38,2.67
0.3,5,12,6,60.9,56,573,4.35,4.39,2.66
0.3,5,12,6,61.9,54,573,4.29,4.33,2.67
0.3,5,12,6,61.7,58,573,4.28,4.31,2.65
0.76,5,12,7,62.2,56,3680,5.83,5.87,3.64
1,4,8,6,62,62,3685,6.42,6.35,3.96
1,4,8,6,60.7,61,3685,6.5,6.41,3.92
1.21,5,9,3,61.3,57,3686,6.94,6.89,4.24
0.81,2,12,7,62.7,56,3689,5.92,5.98,3.73
0.71,1,14,7,64.2,58,3690,5.65,5.6,3.61
0.72,5,13,7,62.1,54,3690,5.74,5.76,3.57
1.1,5,12,3,61.3,57,3690,6.68,6.62,4.08
0.77,2,12,6,62.6,55,3692,5.85,5.88,3.67
1.23,3,13,3,67.4,56,3692,6.76,6.56,4.49
0.74,5,12,7,62,54,3694,5.85,5.81,3.62
1.21,4,8,6,59,60,3694,6.93,6.88,4.07
1.2,2,10,3,58.6,57,3696,6.96,7.01,4.09
1.1,4,8,6,61.2,57,3696,6.66,6.61,4.06
1.5,1,9,3,63.7,61,3696,7.22,7.1,4.57
0.75,5,14,7,62.4,54,3696,5.86,5.84,3.65
0.77,5,13,7,62,56,3697,5.87,5.9,3.65
0.9,3,10,6,64.7,58,3697,5.98,6.01,3.88
0.82,4,13,6,59.7,61,3697,6.08,6.04,3.62
0.9,1,10,6,63.6,61,3701,6.03,5.97,3.8
0.71,5,12,7,61.1,56,3701,5.76,5.8,3.53
0.71,5,12,7,61,56,3701,5.77,5.8,3.53
0.71,1,12,7,61.8,57,3701,5.73,5.76,3.55
0.85,2,12,6,62.2,56,3705,6.01,6.08,3.76
0.9,2,9,6,58.7,60,3709,6.28,6.35,3.71
0.9,2,9,6,60.7,59,3709,6.23,6.26,3.79
0.9,2,9,6,63,60,3709,6.15,6.17,3.88
0.9,2,9,6,59.9,58,3709,6.17,6.22,3.71
0.79,5,9,6,60.9,56,3710,5.97,5.99,3.64
0.71,5,12,7,60.9,57,3710,5.76,5.78,3.51
0.71,5,12,7,60.8,56,3710,5.81,5.82,3.54
0.71,5,12,7,61.5,56,3710,5.72,5.76,3.53
0.71,5,12,7,61.9,56,3710,5.7,5.74,3.54
0.71,5,12,7,61.4,56,3710,5.75,5.78,3.54
0.71,5,12,7,61.5,57,3710,5.71,5.77,3.53
0.71,5,12,7,61.3,56,3710,5.69,5.75,3.51
0.71,5,12,7,60.9,56,3710,5.76,5.79,3.52
0.71,5,12,7,61.9,56,3710,5.69,5.72,3.53
0.71,5,12,7,61.8,55,3710,5.71,5.73,3.54
0.71,5,12,7,61.5,56,3710,5.72,5.75,3.52
0.71,5,12,7,61.4,57,3710,5.72,5.73,3.52
1.16,4,14,3,61.8,59,3711,6.78,6.74,4.18
1.02,4,9,6,61.1,59,3713,6.4,6.37,3.9
0.78,5,13,6,61.1,55,3713,5.99,5.96,3.65
0.8,5,12,6,61.2,58,3713,5.99,6.03,3.68
0.71,5,14,7,60.9,58,3716,5.72,5.78,3.5
0.97,1,8,6,60,56,3717,6.4,6.46,3.86
1.01,1,9,6,57.1,63,3717,6.6,6.56,3.76
0.75,2,13,6,63,57,3718,5.81,5.78,3.65
0.71,4,14,7,59.2,59,3718,5.9,5.85,3.48
1.04,5,12,3,61.6,57,3718,6.51,6.46,4
0.9,2,9,6,61.2,57,3720,6.15,6.2,3.78
0.8,2,12,7,62.6,57,3720,5.9,5.98,3.72
0.8,2,12,7,62.3,57,3720,5.92,5.95,3.7
0.9,4,9,7,61,55,3720,6.29,6.27,3.83
0.77,5,14,6,61.8,56,3721,5.84,5.9,3.63
1.01,4,8,6,61,61,3722,6.28,6.22,3.81
0.92,1,9,7,60.9,63,3723,6.27,6.34,3.84
1.25,4,12,3,58,59,3724,7.12,7.05,4.11
0.9,5,9,7,61.8,56,3724,6.2,6.23,3.84
0.92,4,9,7,61.4,58,3725,6.23,6.27,3.84
0.7,2,11,10,63,59,3725,5.58,5.62,3.53
0.9,3,10,6,64.6,54,3725,6.09,6.14,3.95
1.21,1,13,3,63.3,63,3726,6.67,6.72,4.24
0.91,5,9,6,62.2,59,3726,6.13,6.18,3.83
1.13,5,13,3,62,55,3729,6.66,6.7,4.14
1.11,2,8,6,63.2,59,3730,6.55,6.46,4.11
1.19,5,10,3,61.5,57,3732,6.83,6.79,4.19
1.27,4,9,3,60.2,62,3732,7.05,7,4.23
1.01,3,10,6,65.2,56,3733,6.23,6.19,4.05
0.9,1,9,10,63.7,64,3734,6.02,6.07,3.85
0.9,1,10,7,64,59,3734,6.01,6.05,3.86
0.91,2,9,7,61.9,57,3734,6.19,6.24,3.85
1.51,3,12,3,67.8,59,3734,7.09,7,4.78
1.51,3,12,3,67.5,56,3734,7.17,7.05,4.8
0.73,5,14,6,62.6,55,3735,5.71,5.76,3.59
0.78,5,14,6,62.9,56,3736,5.85,5.88,3.69
0.78,5,11,7,61.6,55,3736,5.91,5.94,3.65
0.71,5,11,10,60.9,57,3739,5.74,5.79,3.51
0.91,5,10,6,63,56,3743,6.15,6.05,3.84
0.78,2,12,7,61.7,55,3744,5.89,5.94,3.65
1.13,5,10,3,62.2,55,3745,6.69,6.65,4.15
1.1,4,12,3,59.8,61,3745,6.7,6.65,3.99
1.1,5,12,3,61.8,56,3745,6.65,6.61,4.1
1.52,3,9,3,67.7,58,3745,7.07,7,4.76
1.13,4,11,3,61.2,58,3746,6.77,6.66,4.11
0.74,5,14,7,61.7,55,3746,5.85,5.79,3.59
0.91,1,9,6,58,62,3747,6.32,6.38,3.68
0.71,5,13,7,61.5,55,3748,5.78,5.75,3.55
0.63,5,12,10,60.9,57,3749,5.53,5.57,3.38
0.9,1,12,7,63.8,56,3750,5.99,5.92,3.8
0.3,5,12,6,60.5,58,573,4.3,4.36,2.62
0.33,5,9,7,61.7,55,573,4.44,4.47,2.75
0.31,5,11,6,61.4,57,574,4.35,4.38,2.68
0.31,5,11,6,61.4,56,574,4.34,4.37,2.67
0.77,5,12,7,61.9,54,3750,5.91,5.94,3.66
0.9,3,12,7,65.7,59,3750,5.96,5.92,3.9
0.9,3,12,6,65.7,57,3750,6.03,5.99,3.95
1.25,4,8,6,59.8,58,3751,7.02,6.96,4.18
0.91,5,9,6,62.2,56,3751,6.22,6.18,3.86
0.7,5,14,7,61.4,54.2,3752,5.72,5.76,3.52
1.14,5,12,3,61.7,57,3755,6.67,6.7,4.13
0.77,5,14,6,61.8,56,3755,5.9,5.84,3.63
0.81,5,12,6,61.7,57,3756,5.97,6.02,3.7
0.86,3,11,7,64.6,58.8,3756,5.95,6.04,3.87
0.73,5,13,7,61.7,57,3758,5.77,5.8,3.57
0.72,5,12,7,61.6,56,3759,5.76,5.79,3.56
0.72,5,12,7,61.5,56,3759,5.77,5.8,3.56
0.72,5,12,7,60.7,57,3759,5.79,5.87,3.54
0.72,5,12,7,61.7,56,3759,5.75,5.78,3.56
0.72,5,12,7,61.4,56,3759,5.75,5.79,3.54
0.72,5,12,7,61,55,3759,5.77,5.81,3.53
0.72,5,12,7,61.3,56,3759,5.74,5.78,3.54
0.72,5,12,7,61.5,56,3759,5.74,5.77,3.53
0.72,5,12,7,60.5,56,3759,5.82,5.85,3.53
0.74,5,10,10,60.9,57,3760,5.83,5.85,3.56
0.78,5,14,6,61.9,56,3763,5.88,5.94,3.66
1,3,9,7,65.3,55,3763,6.34,6.25,4.11
1,4,9,7,60.3,62,3763,6.46,6.41,3.88
1,1,9,7,64,53,3763,6.34,6.28,4.04
1.2,5,10,3,58.6,57,3763,7.01,6.96,4.09
1,4,9,7,60.1,62,3763,6.5,6.47,3.9
0.9,2,9,6,62.8,52,3764,6.19,6.23,3.9
1.51,3,10,3,65.6,61,3765,7.16,7,4.66
0.93,2,9,6,63.1,58,3766,6.19,6.21,3.91
1.02,4,14,3,61.4,60,3769,6.42,6.47,3.96
1,1,8,6,58.7,61,3769,6.5,6.52,3.82
0.71,5,11,10,61.8,57,3772,5.7,5.75,3.54
0.71,5,13,6,61.9,55,3773,5.68,5.72,3.53
1.29,2,12,3,58.2,61,3774,7.11,7.15,4.15
0.8,5,10,10,61.1,56,3774,6.02,5.96,3.66
0.9,1,10,6,63.6,55,3775,6.14,6.09,3.89
0.91,2,11,6,62.7,63,3776,6.05,6,3.78
1.5,4,14,3,62.4,60,3780,7.37,7.19,4.54
0.73,5,10,10,62.3,55,3785,5.77,5.79,3.6
0.92,1,9,6,59.6,61,3785,6.28,6.34,3.76
0.77,5,11,6,61.7,55,3786,5.89,5.91,3.64
0.77,2,14,6,59.6,57,3787,6.01,6.03,3.59
0.7,5,14,6,61.2,57,3788,5.69,5.75,3.5
1.01,4,8,7,63,55,3790,6.39,6.34,4.01
1,4,8,6,60.3,58,3790,6.49,6.44,3.9
0.9,1,11,6,63.9,61,3792,6.01,5.97,3.83
0.8,5,12,7,61.2,56,3793,6.01,5.98,3.67
1.19,5,10,3,60.3,57,3794,6.83,6.93,4.15
0.82,2,13,6,60.4,61,3795,6.06,6.09,3.67
1.21,2,13,3,63.3,63,3795,6.72,6.67,4.24
1.03,1,8,6,63.7,56,3795,6.42,6.35,4.07
1.02,2,8,6,59.3,58,3796,6.56,6.62,3.91
0.73,5,12,7,61.2,57,3797,5.79,5.84,3.56
0.73,5,12,7,61.4,55,3797,5.8,5.83,3.57
1.13,5,13,3,62,55,3797,6.7,6.66,4.14
0.79,2,14,7,58.8,60,3798,6.03,6.08,3.56
0.82,5,12,6,61.5,57,3798,6.01,6.05,3.71
0.71,5,12,7,61.9,56,3799,5.66,5.72,3.53
0.78,2,14,7,63.2,58,3800,5.87,5.81,3.69
0.9,1,11,6,64,59,3801,6.04,6.08,3.88
0.71,5,14,7,62.1,57,3801,5.7,5.73,3.55
1.01,3,9,7,64.9,56,3801,6.29,6.2,4.07
0.85,4,13,6,60.2,60,3803,6.14,6.09,3.68
0.74,5,13,7,62.1,53,3804,5.82,5.8,3.61
0.9,5,9,6,61.3,56,3805,6.24,6.2,3.81
0.79,2,12,7,61,55,3806,6.01,6.03,3.67
0.9,3,11,7,65.7,58,3806,6.02,5.97,3.94
0.96,4,9,6,60.6,60,3808,6.47,6.4,3.9
0.9,2,10,6,61.6,63,3810,6.14,6.1,3.77
0.9,4,10,6,62.8,58,3810,6.17,6.13,3.86
0.9,4,10,6,61.2,61,3810,6.21,6.14,3.78
0.9,4,10,6,63,61,3810,6.14,6.05,3.84
0.78,5,14,6,61.9,56,3811,5.89,5.91,3.65
0.74,5,14,7,61.3,57,3812,5.8,5.84,3.57
0.53,5,14,10,62.2,55,3812,5.17,5.19,3.22
0.8,4,12,7,60.5,59,3813,6,6.03,3.64
0.74,5,14,7,61.7,55,3813,5.79,5.85,3.59
1.18,2,14,3,61.5,62,3816,6.73,6.88,4.19
0.75,2,13,6,60.4,56,3817,5.9,5.96,3.58
0.79,5,14,6,61.3,57,3818,5.95,6,3.66
0.34,4,8,7,61.7,58,574,4.47,4.41,2.74
0.95,4,9,6,62.9,57,3818,6.24,6.19,3.91
1,3,10,6,64.8,55,3819,6.35,6.28,4.09
1,4,10,6,59.8,56,3819,6.5,6.48,3.88
1,1,10,6,63.9,57,3819,6.32,6.26,4.02
0.9,5,9,6,62.6,54.3,3820,6.14,6.17,3.86
1.52,4,11,3,61.7,58,3820,7.43,7.34,4.56
0.76,5,12,7,61.9,55,3820,5.88,5.84,3.63
0.85,5,14,6,61.9,55,3821,6.07,6.14,3.78
1.05,4,8,7,62.7,61,3822,6.58,6.49,4.09
1.01,1,8,7,63.2,62,3823,6.29,6.33,3.99
1.14,5,12,3,61.7,57,3824,6.7,6.67,4.13
0.79,5,13,6,62.2,55,3827,5.9,5.97,3.69
0.79,2,13,7,62.2,55,3827,5.95,6.01,3.72
0.53,2,14,10,59.8,60,3827,5.22,5.28,3.14
0.8,2,13,7,63.2,54,3831,5.88,5.93,3.73
0.63,5,14,10,61.2,53,3832,5.55,5.6,3.41
1.23,2,10,3,61.9,60.6,3835,6.79,6.85,4.22
1,1,8,6,62,61,3835,6.36,6.45,3.97
0.77,5,14,6,61.1,57,3837,5.93,5.96,3.63
0.91,3,12,6,66.8,58,3837,5.95,5.97,3.98
0.71,5,14,6,61,56,3838,5.76,5.81,3.53
1.02,4,14,3,61.4,60,3838,6.47,6.42,3.96
0.9,4,10,7,63,62,3838,6.09,6,3.81
0.81,2,13,6,62.8,57,3839,5.9,5.95,3.72
0.7,5,14,7,62.3,55,3840,5.64,5.68,3.53
0.9,4,11,6,59,58,3841,6.29,6.25,3.7
0.83,5,12,6,61.6,58,3841,6.04,6.07,3.73
0.9,2,9,7,62.6,58,3844,6.09,6.15,3.83
1.04,1,8,6,57.4,60,3844,6.76,6.72,3.87
0.74,5,12,7,61.7,56,3845,5.79,5.87,3.6
0.9,4,11,6,62.9,62,3850,6.06,6.02,3.8
0.91,2,10,6,63.1,59,3853,6.16,6.13,3.88
0.91,4,10,6,59.6,60,3853,6.29,6.25,3.74
0.73,2,14,7,62.2,56,3856,5.72,5.75,3.57
0.74,5,14,6,61.8,56,3858,5.79,5.82,3.59
1,5,9,6,62.6,54,3858,6.39,6.35,3.99
0.9,1,11,6,63.9,61,3859,5.97,6.01,3.83
0.8,5,12,7,61.2,56,3860,5.98,6.01,3.67
0.79,5,13,6,62.2,55,3861,5.97,5.9,3.69
0.91,5,8,7,61.9,56,3863,6.19,6.22,3.85
0.78,5,14,6,62.2,55,3864,5.87,5.97,3.68
0.76,5,13,6,61.6,56,3864,5.85,5.9,3.62
1.19,5,10,3,60.3,57,3864,6.93,6.83,4.15
1.5,1,12,3,63.7,59,3864,7.29,7.18,4.62
0.9,5,9,7,62.9,58,3867,6.13,6.18,3.87
0.9,5,9,7,62.4,56,3867,6.14,6.19,3.85
0.85,2,13,6,60.2,60,3871,6.09,6.14,3.68
1.2,4,13,3,62.3,60,3871,6.78,6.71,4.2
0.96,1,12,6,63.7,54,3871,6.24,6.19,3.96
1.1,5,13,3,61.9,56,3872,6.59,6.63,4.09
0.74,2,13,7,62.1,53.4,3872,5.8,5.82,3.61
0.87,4,14,6,59.9,59,3873,6.2,6.16,3.7
1.12,5,11,3,60.3,57,3874,6.73,6.8,4.08
0.9,3,13,6,65.2,61,3875,6.01,5.98,3.91
0.96,4,9,6,60.6,60,3876,6.4,6.47,3.9
1,4,8,6,60.7,58,3877,6.49,6.52,3.95
0.9,2,10,6,61.2,61,3878,6.14,6.21,3.78
0.9,2,10,6,61.6,63,3878,6.1,6.14,3.77
0.9,2,10,6,63,61,3878,6.05,6.14,3.84
0.9,2,10,6,62.8,58,3878,6.13,6.17,3.86
0.9,2,9,7,62,61,3880,6.12,6.18,3.81
0.82,5,11,7,61.9,54,3880,5.99,6.03,3.72
0.73,5,12,10,61.2,55,3880,5.86,5.8,3.57
1.05,1,8,7,57.8,64,3881,6.74,6.67,3.88
0.9,1,10,6,63.6,58,3881,6.11,6.09,3.88
0.91,2,10,7,62.7,63,3881,6.1,6.03,3.8
0.91,4,10,7,59.2,62,3881,6.2,6.14,3.65
0.8,5,12,7,62.4,55,3884,5.92,5.88,3.68
0.8,5,12,7,61.6,54,3884,5.99,5.95,3.68
0.95,5,9,6,62.2,57,3884,6.29,6.22,3.89
1.18,5,14,3,61.5,62,3886,6.88,6.73,4.19
1.01,3,8,6,59.6,62,3886,6.54,6.49,3.88
0.91,2,10,6,61.6,60,3887,6.19,6.21,3.82
0.7,2,12,10,61.5,58,3887,5.65,5.7,3.49
0.74,5,13,7,62.2,55,3888,5.79,5.82,3.61
0.33,1,13,6,57.3,59,574,4.6,4.62,2.64
0.9,2,10,6,60.8,58,3890,6.18,6.22,3.77
0.9,1,10,6,64.3,60,3890,6.02,6.04,3.88
1.18,2,13,3,62.5,58,3894,6.62,6.75,4.18
0.9,2,13,6,63.4,59,3894,6.19,6.11,3.9
0.76,4,14,7,60.6,58,3894,5.95,5.89,3.59
0.92,4,9,6,60.9,58,3895,6.28,6.27,3.82
0.72,5,14,7,60.9,56,3896,5.79,5.86,3.55
0.78,2,13,7,61.5,60,3898,5.86,5.92,3.62
1.29,4,13,3,58.6,60,3901,7.18,7.12,4.19
0.9,1,10,6,64.1,56,3902,6,6.05,3.86
0.82,5,13,6,61.9,57,3903,6.01,5.98,3.71
1.23,5,10,3,61.9,61,3905,6.85,6.79,4.22
0.91,5,9,7,62.1,57,3906,6.2,6.23,3.86
0.9,2,11,6,59,58,3910,6.25,6.29,3.7
0.77,2,13,6,60.4,58,3911,5.94,6.01,3.61
0.8,5,12,6,61.3,55,3913,5.98,6,3.67
1.18,4,8,6,62.8,59,3913,6.78,6.69,4.23
1.39,2,9,3,62.6,57,3914,7.1,7.15,4.46
1.02,5,10,3,62.1,56,3915,6.4,6.45,3.99
0.92,4,10,6,59.6,59,3916,6.32,6.29,3.76
0.9,1,11,6,62.9,62,3918,6.02,6.06,3.8
1,4,9,6,62.7,62,3918,6.32,6.27,3.95
0.9,2,10,6,63.1,60,3919,6.12,6.08,3.85
0.9,1,10,6,64,58,3919,6.11,6.07,3.9
0.9,4,10,6,62.3,58,3919,6.18,6.09,3.82
1,1,8,7,58.1,64,3920,6.63,6.51,3.82
0.91,4,10,6,59.6,60,3921,6.25,6.29,3.74
0.91,1,10,6,63.1,59,3921,6.13,6.16,3.88
0.88,4,12,7,60.7,55,3921,6.28,6.22,3.79
0.78,2,14,7,61.5,57,3923,5.92,5.95,3.65
0.81,5,11,7,61.6,56,3923,5.99,6.02,3.7
0.92,3,10,7,56,60,3924,6.53,6.51,3.65
0.91,2,10,6,63.7,57,3924,6.1,6.12,3.89
0.85,5,13,6,59.3,57,3924,6.19,6.22,3.68
0.8,5,13,6,60.9,57,3930,6.01,6.05,3.67
0.9,3,12,6,64.7,54,3931,6.09,6.03,3.92
0.9,3,14,6,57.5,66,3931,6.3,6.25,3.61
0.9,4,10,6,62.6,58,3933,6.14,6.19,3.86
0.81,5,12,7,61.5,55,3933,6.01,5.96,3.68
0.84,5,11,6,62,55,3936,6.07,6.09,3.77
0.73,5,14,7,60.9,55,3937,5.83,5.86,3.56
0.93,4,10,6,60.3,61,3937,6.39,6.25,3.81
1.12,4,13,3,61,59,3942,6.7,6.74,4.1
1.1,5,13,3,61.9,56,3942,6.63,6.59,4.09
1.12,5,11,3,60.3,57,3945,6.8,6.73,4.08
0.93,1,9,6,58.2,60,3946,6.41,6.48,3.75
0.72,5,13,7,61.1,57,3947,5.78,5.81,3.54
0.97,4,9,6,62.2,56,3948,6.34,6.29,3.94
0.76,5,10,6,62,56,3948,5.86,5.88,3.64
0.9,1,13,6,63.7,58,3948,6.06,6.09,3.87
0.7,5,11,10,61.3,56,3949,5.72,5.73,3.51
1.14,4,14,3,61.8,59,3950,6.62,6.74,4.13
0.76,1,14,7,63.7,56,3950,5.81,5.77,3.69
0.72,4,13,10,61.3,60,3951,5.74,5.71,3.51
1,3,9,7,64,49,3951,6.43,6.39,4.1
0.8,5,12,7,61.6,54,3953,5.95,5.99,3.68
0.8,2,12,6,61.3,55,3954,5.93,6.01,3.66
0.91,5,9,7,62.4,57,3954,6.17,6.21,3.86
1.03,4,8,7,61.8,58,3957,6.51,6.41,3.99
0.75,5,14,7,62.4,56,3961,5.79,5.84,3.63
0.91,4,10,6,62.3,57,3963,6.22,6.13,3.85
0.9,2,10,7,62.6,55,3964,6.14,6.19,3.86
0.9,2,10,7,62.7,56,3964,6.15,6.2,3.87
1.18,2,13,3,63.3,57,3965,6.7,6.64,4.22
1.18,4,13,3,62.5,58,3965,6.75,6.62,4.18
0.33,2,9,7,59.9,62,575,4.48,4.57,2.71
0.3,2,13,6,62.1,62,575,4.21,4.26,2.63
0.32,2,11,6,61.9,56,576,4.36,4.39,2.71
0.32,5,9,6,60.3,56,576,4.45,4.44,2.68
0.32,5,9,6,61.5,56,576,4.41,4.4,2.71
0.32,5,9,6,62.2,57,576,4.42,4.39,2.74
0.32,4,9,6,62.6,58,576,4.42,4.37,2.75
